industrails:11,6,7,13,9,7,8,8,9,13,11,100,7,14,11,13,7,11,11,8,11,11,13,10,6
insurance company:9,6,7,10,13,7,8,8,9,17,11,8,7,7,9,11,7,8,14,9,8,11,9,8,6 
internet/software:8,10,7,9,13,11,13,7,8,9,11,8,11,11,11,13,14,10,8,100,8,14,14,7,10 
jewelry/watches:14,10,10,11,14,14,17,8,13,14,14,9,100,11,14,17,17,14,10,9,14,14,20,13,100 
journalist:8,7,13,14,9,9,10,9,17,8,14,7,9,8,9,9,9,8,8,7,14,9,11,7,7 
kitchen/cooking:13,9,8,8,13,13,14,8,11,11,17,10,13,10,13,14,13,14,8,7,13,17,17,11,9 
landmark:13,8,8,10,11,10,11,9,11,11,14,11,10,8,14,14,10,13,9,10,13,17,14,11,8 
lawyer:8,7,13,20,9,9,10,9,17,8,14,7,9,8,9,9,9,8,8,7,14,9,11,7,7 
legal/law:14,7,8,13,17,8,9,9,11,13,25,20,8,13,11,17,8,20,11,11,14,11,17,13,7 
library:11,10,8,13,14,14,17,9,13,13,25,13,14,11,14,14,14,17,11,10,10,20,20,9,10 
local business:25,7,8,13,11,8,9,9,11,20,17,50,8,25,14,33,8,50,11,10,25,13,33,20,7 
magazine:7,10,8,9,33,14,17,8,10,8,14,14,14,100,33,8,17,13,7,7,9,14,20,6,11 
media/news/publishing:11,6,8,17,13,8,8,8,10,13,11,33,8,8,25,17,8,11,11,11,11,11,13,10,6 
mining/materials:13,13,14,17,20,20,25,11,20,11,20,33,20,14,20,17,20,17,10,11,17,20,33,11,13 
monarch:8,8,14,17,10,10,11,10,20,9,17,8,10,8,10,10,10,9,8,8,17,10,13,7,8 
movie:13,10,8,10,33,14,17,8,10,11,14,11,14,20,100,14,14,13,9,8,13,14,20,11,10 
movie theater:13,10,8,10,33,14,17,8,10,11,14,11,14,20,100,14,14,13,9,8,13,14,20,11,10 
museum/art gallery:7,10,8,9,14,14,17,8,11,8,17,7,14,11,14,8,14,14,7,7,9,17,20,6,10 
music award:25,7,8,13,14,8,9,9,11,20,13,13,8,8,14,100,8,25,11,13,25,13,33,20,7 
music chart:25,7,8,13,14,8,9,9,11,20,13,13,8,8,14,100,8,25,11,13,25,13,33,20,7 
music video:25,7,8,13,14,8,9,9,11,20,13,13,8,8,14,100,8,25,11,13,25,13,33,20,7 
musical instrument:7,13,8,9,14,14,17,8,10,8,14,7,14,14,14,8,100,13,7,7,9,20,20,6,17 
musician/band:25,7,8,13,14,8,9,9,11,20,13,13,8,8,14,100,8,25,11,13,25,13,33,20,7 
news personality:11,6,8,17,13,8,8,8,10,13,11,10,8,8,25,17,8,11,11,11,11,11,13,10,6 
non-governmental organization:25,7,8,17,11,8,9,9,11,20,17,25,8,17,14,33,8,25,11,10,25,13,33,20,7 
non-profit organization:25,7,8,17,11,8,9,9,11,20,17,25,8,17,14,33,8,25,11,10,25,13,33,20,7 
office supplies:20,9,8,17,13,13,14,9,20,25,20,14,13,11,13,25,13,100,20,10,20,20,25,17,9 
organization:25,7,8,17,11,8,9,9,11,20,17,25,8,17,14,33,8,25,11,10,25,13,33,20,7 
outdoor gear/sporting goods:20,9,17,20,13,13,14,11,25,17,25,11,13,10,13,25,13,33,10,11,100,13,25,25,9 
patio/garden:10,10,8,11,14,14,17,8,13,11,100,11,14,11,14,13,14,17,10,9,9,20,20,8,10 
pet services:14,8,14,17,11,11,13,10,20,13,100,9,11,9,11,17,11,14,11,8,17,11,17,13,8 
pet supplies:14,8,14,17,11,11,13,10,20,13,100,9,11,9,11,17,11,14,11,8,17,11,17,13,8 
playlist:8,6,7,9,10,7,7,7,8,9,9,8,7,7,8,13,7,8,8,9,8,8,8,7,6 
political organization:25,7,8,17,11,8,9,9,11,20,17,25,8,17,14,33,8,25,11,10,25,13,33,20,7 
political party:25,7,8,17,11,8,9,9,11,20,17,25,8,17,14,33,8,25,11,10,25,13,33,20,7 
politician:8,8,14,17,10,10,11,10,20,9,17,8,10,8,10,10,10,9,8,8,17,10,13,7,8 
producer:10,8,14,17,10,10,11,10,20,9,17,9,10,8,11,11,10,10,8,8,17,13,13,9,8 
product/service:25,11,13,17,50,20,25,17,17,25,20,17,17,25,50,33,17,25,11,9,25,17,33,20,11 
professional services:25,9,14,25,13,13,14,10,20,25,17,17,13,13,14,33,13,25,11,8,33,13,33,20,9 
professional sports team:20,9,17,20,13,13,14,11,25,17,25,11,13,10,13,25,13,33,10,11,100,13,25,25,9 
public figure:8,7,13,20,9,9,10,9,17,8,14,7,9,8,9,9,9,8,8,7,14,9,11,7,7 
public places:20,8,9,14,17,11,13,10,13,33,100,17,11,11,14,25,11,100,100,11,20,100,25,17,8 
radio station:7,9,8,8,13,13,14,8,9,7,13,6,13,10,13,8,13,11,7,6,8,13,17,6,9 
real estate:10,6,8,11,10,8,8,8,10,11,11,9,8,8,10,13,8,9,10,9,9,10,10,8,6 
record label:14,9,8,13,14,10,11,9,13,13,13,11,10,10,13,20,17,14,11,13,14,13,17,13,11 
restaurant/cafe:7,10,8,9,14,14,17,8,13,8,20,7,14,11,14,8,14,17,7,7,9,20,20,6,10 
retail and consumer merchandise:11,11,14,17,17,20,25,10,20,10,17,20,17,13,17,13,17,14,8,8,17,17,25,10,11 
school:11,10,8,11,14,14,17,8,13,11,20,14,14,11,14,13,14,17,10,9,9,20,20,8,10 
school sports team:20,9,17,20,13,13,14,11,25,17,25,11,13,10,13,25,13,33,10,11,100,13,25,25,9 
shopping/retail:11,11,9,10,17,20,25,9,11,10,17,20,17,13,17,13,17,14,8,7,11,17,25,10,11 
small business:25,7,8,13,11,8,9,9,11,20,17,50,8,25,14,33,8,50,11,10,25,13,33,20,7 
software:8,6,7,9,13,7,7,7,8,9,9,8,7,7,8,13,7,8,8,100,8,8,8,7,6 
song:17,6,8,11,13,8,8,8,10,14,11,11,8,8,14,33,8,17,10,11,17,17,20,14,6 
spas/beauty/personal care:17,9,13,100,13,13,14,9,20,100,17,13,13,10,13,20,13,33,13,9,17,17,20,14,9 
sports league:20,9,17,20,13,13,14,11,25,17,25,11,13,10,13,25,13,33,10,11,100,13,25,25,9 
sports venue:20,9,17,20,13,13,14,11,25,17,25,11,13,10,13,25,13,33,10,11,100,13,25,25,9 
sports/recreation/activities:33,9,17,20,13,13,14,17,25,25,25,14,13,10,17,50,13,33,20,11,100,20,50,33,9 
studio:7,9,8,8,13,13,14,8,11,8,25,7,13,10,13,8,13,14,7,7,8,25,17,6,9 
teacher:11,7,11,17,8,8,9,8,14,8,13,13,8,7,9,9,8,8,8,7,13,8,10,8,7 
telecommunication:10,13,8,9,14,14,17,8,10,8,14,20,14,20,33,8,20,13,7,7,9,20,20,7,13 
tools/equipment:14,14,14,17,17,20,20,10,20,13,17,11,17,17,20,17,25,14,8,8,17,100,25,13,14 
tours/sightseeing:14,6,8,11,10,8,8,8,10,13,11,9,8,8,10,17,8,14,10,9,14,10,17,13,6 
transit shop:17,11,9,10,17,17,20,9,25,14,17,10,17,13,17,20,20,25,8,7,17,17,25,14,17 
transport/freight:13,17,9,11,17,17,20,13,13,14,17,33,17,17,17,14,25,14,13,8,13,25,25,11,14 
transportation:14,11,9,10,17,17,20,9,11,13,17,33,17,13,17,17,17,14,8,8,14,17,25,13,11 
travel/leisure:14,6,7,10,9,7,8,8,9,13,10,11,7,7,14,17,7,14,9,8,14,17,17,13,6 
tv channel:6,10,7,8,11,14,13,7,8,7,11,6,11,14,100,7,14,10,6,6,8,14,14,6,10 
tv network:6,10,7,8,11,14,13,7,8,7,11,6,11,14,100,7,14,10,6,6,8,14,14,6,10 
tv show:6,10,7,8,11,14,13,7,8,7,11,6,11,14,100,7,14,10,6,6,8,14,14,6,10 
tv/movie award:13,10,8,10,33,14,17,8,10,11,14,11,14,20,100,14,14,13,9,8,13,14,20,11,10 
university:10,10,8,11,14,14,17,8,17,11,20,14,14,11,14,13,14,25,10,9,9,20,20,8,10 
vitamins/supplements:9,8,9,11,20,11,13,10,33,11,11,8,11,9,11,14,11,10,10,13,10,11,14,8,8 
website:6,10,7,8,11,11,13,7,8,7,11,6,11,11,11,7,20,10,6,6,8,14,14,6,13 
wine/spirits:13,8,13,14,13,10,11,11,25,25,14,14,10,8,10,17,10,9,20,11,14,14,13,8,8 
writer:8,8,14,17,10,10,11,10,20,9,17,8,10,8,10,10,10,9,8,8,17,10,13,7,8
